longname,shortnam,step,mort,mort2,logmort0,logmort2,risk,loggdp,campaign,campaign2,source0,source2,slave,latitude,neoeuro,asia,africa,other,rainmin,meantemp,edes1975,malaria,nafrica,other2,asiae_bl,laam_bl,oecd_bl,safrica_bl,col_fr,col_uk,cons90,lado1995,urb1500,pd1500,bishops,epidemic,notsoudan,ajr_ead,inconsis,new_data,mort_bis,mort_set
Angola,AGO,3.0,280.0,280.0,5.63478946685791,5.63478946685791,5.360000133514404,7.769999980926514,1.0,1.0,0.0,0.0,0.0,0.13670000433921814,0.0,0.0,1.0,0.0,0.0,26.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,,1.5,0.0,0.0,1.0,0.0,0.0,0.0,,
Argentina,ARG,4.0,68.9000015258789,68.9000015258789,4.232656002044678,4.232656002044678,6.389999866485596,9.130000114440918,1.0,1.0,0.0,0.0,0.0,0.37779998779296875,0.0,0.0,0.0,0.0,56.0,17.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.10962148010730743,1.0,0.0,0.0,0.0,0.0,0.0,16.700000762939453,
Australia,AUS,4.0,8.550000190734863,2.646174907684326,2.1459312438964844,0.9731151461601257,9.319999694824219,9.899999618530273,0.0,0.0,0.0,1.0,0.0,0.30000001192092896,1.0,0.0,0.0,1.0,41.0,17.0,99.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,6.0,0.0,0.02603387087583542,0.0,0.0,0.0,0.0,0.0,0.0,,
Burkina Faso,BFA,2.0,280.0,280.0,5.63478946685791,5.63478946685791,4.449999809265137,6.849999904632568,1.0,1.0,0.0,0.0,0.0,0.1444000005722046,0.0,0.0,1.0,0.0,0.0,29.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,,4.230000019073486,0.0,0.0,1.0,1.0,0.0,0.0,,
Bangladesh,BGD,1.0,71.41000366210938,71.41000366210938,4.26843786239624,4.26843786239624,5.139999866485596,6.880000114440918,1.0,1.0,1.0,1.0,0.0,0.26669999957084656,0.0,1.0,0.0,0.0,2.0,25.0,0.0,0.17861999571323395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,8.539999961853027,23.700000762939453,0.0,0.0,0.0,1.0,0.0,0.0,,
Bahamas,BHS,4.0,85.0,5.24174690246582,4.442651271820068,1.6566548347473145,7.5,9.289999961853027,0.0,0.0,0.0,1.0,0.0,0.26829999685287476,0.0,0.0,0.0,0.0,33.0,25.0,10.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,4.0,,1.4600000381469727,0.0,0.0,0.0,0.0,0.0,0.0,,
Bolivia,BOL,4.0,71.0,71.0,4.2626800537109375,4.2626800537109375,5.639999866485596,7.929999828338623,1.0,1.0,0.0,0.0,0.0,0.18889999389648438,0.0,0.0,0.0,0.0,8.0,12.0,30.000001907348633,0.011357000097632408,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,3.0,10.619999885559082,0.8299673795700073,1.0,0.0,0.0,0.0,0.0,0.0,16.700000762939453,
Brazil,BRA,4.0,71.0,71.0,4.2626800537109375,4.2626800537109375,7.909999847412109,8.729999542236328,1.0,1.0,0.0,0.0,0.0,0.11110000312328339,0.0,0.0,0.0,0.0,41.0,25.0,55.0,0.03328999876976013,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.11825209110975266,1.0,0.0,0.0,0.0,0.0,0.0,16.700000762939453,
Canada,CAN,1.0,16.100000381469727,16.100000381469727,2.7788193225860596,2.7788193225860596,9.729999542236328,9.989999771118164,0.0,0.0,1.0,1.0,0.0,0.666700005531311,1.0,0.0,0.0,0.0,56.0,4.0,98.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,6.0,0.0,0.02168969251215458,0.0,0.0,0.0,1.0,0.0,0.0,,227.0
Chile,CHL,4.0,68.9000015258789,68.9000015258789,4.232656002044678,4.232656002044678,7.820000171661377,9.34000015258789,1.0,1.0,0.0,0.0,0.0,0.33329999446868896,0.0,0.0,0.0,0.0,3.0,17.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.8012820482254028,1.0,0.0,0.0,0.0,0.0,0.0,16.700000762939453,
