id,nearc2,nearc4,educ,age,fatheduc,motheduc,weight,momdad14,sinmom14,step14,reg661,reg662,reg663,reg664,reg665,reg666,reg667,reg668,reg669,south66,black,smsa,south,smsa66,wage,enroll,KWW,IQ,married,libcrd14,exper,lwage,expersq,u_lwage,lwage_hat,u_educ
2.0,0.0,0.0,7.0,29.0,,,158413.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,548.0,0.0,15.0,,1.0,0.0,16.0,6.306274890899658,256.0,0.1980467140674591,6.1082282066345215,-3.0675387382507324
3.0,0.0,0.0,12.0,27.0,8.0,8.0,380166.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,481.0,0.0,35.0,93.0,1.0,1.0,9.0,6.175867080688477,81.0,-0.21116027235984802,6.387027263641357,-1.7275618314743042
4.0,0.0,0.0,12.0,34.0,14.0,12.0,367470.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,721.0,0.0,42.0,103.0,1.0,1.0,16.0,6.580638885498047,256.0,0.20471902191638947,6.375919818878174,1.0129754543304443
5.0,1.0,1.0,11.0,27.0,11.0,12.0,380166.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,250.0,0.0,25.0,88.0,1.0,1.0,10.0,5.521461009979248,100.0,-0.9679052233695984,6.489366054534912,-2.2535364627838135
6.0,1.0,1.0,12.0,34.0,8.0,7.0,367470.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,729.0,0.0,34.0,108.0,1.0,0.0,16.0,6.591673851013184,256.0,0.1251727044582367,6.466501235961914,1.0904368162155151
7.0,1.0,1.0,12.0,26.0,9.0,12.0,380166.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,500.0,0.0,38.0,85.0,1.0,1.0,8.0,6.214608192443848,64.0,-0.2467947006225586,6.461402893066406,-2.0483505725860596
8.0,1.0,1.0,18.0,33.0,14.0,14.0,367470.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,565.0,0.0,41.0,119.0,1.0,1.0,9.0,6.336825847625732,81.0,-0.14078278839588165,6.477608680725098,4.349899768829346
9.0,1.0,1.0,14.0,29.0,14.0,14.0,496635.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,608.0,0.0,46.0,108.0,1.0,1.0,9.0,6.41017484664917,81.0,-0.06743378937244415,6.477608680725098,0.349899560213089
10.0,1.0,1.0,12.0,28.0,12.0,12.0,367772.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,425.0,0.0,32.0,96.0,4.0,0.0,10.0,6.052089214324951,100.0,-0.43727704882621765,6.489366054534912,-1.2535364627838135
11.0,1.0,1.0,12.0,29.0,12.0,12.0,480445.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,515.0,0.0,34.0,97.0,1.0,1.0,11.0,6.244166851043701,121.0,-0.25250887870788574,6.496675968170166,-0.8586587905883789
