ori,group,year,pop,agency_name,m_emp,f_emp,emp,sworn,civil
ALAST00,8D,4.0,0.0,ALABAMA HIGHWAY PATROL,825.0,442.0,1267.0,680.0,587.0
AL00100,9A,4.0,146963.0,JEFFERSON,437.0,163.0,600.0,466.0,134.0
AL00101,4,4.0,29298.0,BESSEMER,105.0,23.0,128.0,107.0,21.0
AL00102,2,4.0,238167.0,BIRMINGHAM,760.0,372.0,1132.0,838.0,294.0
AL00103,5,4.0,20068.0,MOUNTAIN BROOK,56.0,5.0,61.0,50.0,11.0
AL00104,5,4.0,11996.0,FAIRFIELD,48.0,12.0,60.0,46.0,14.0
AL00105,5,4.0,12185.0,GARDENDALE,29.0,3.0,32.0,25.0,7.0
AL00106,5,4.0,10983.0,LEEDS,21.0,7.0,28.0,21.0,7.0
AL00107,6,4.0,5476.0,MIDFIELD,10.0,5.0,15.0,11.0,4.0
AL00108,6,4.0,6819.0,TARRANT CITY,22.0,6.0,28.0,22.0,6.0
AL00109,4,4.0,31111.0,VESTAVIA HILLS,64.0,3.0,67.0,65.0,2.0
AL00110,5,4.0,24559.0,HOMEWOOD,86.0,18.0,104.0,74.0,30.0
AL00111,6,4.0,6683.0,FULTONDALE,20.0,3.0,23.0,17.0,6.0
AL00112,3,4.0,65495.0,HOOVER,152.0,42.0,194.0,139.0,55.0
AL00113,6,4.0,9773.0,IRONDALE,33.0,2.0,35.0,29.0,6.0
AL00114,5,4.0,10360.0,PLEASANT GROVE,19.0,3.0,22.0,17.0,5.0
AL00115,7,4.0,0.0,ROOSEVELT CITY,0.0,0.0,0.0,0.0,0.0
AL00116,7,4.0,2349.0,GRAYSVILLE,7.0,2.0,9.0,5.0,4.0
AL00117,7,4.0,0.0,BROWNSVILLE,0.0,0.0,0.0,0.0,0.0
AL00118,6,4.0,3518.0,BRIGHTON,9.0,2.0,11.0,8.0,3.0
AL00119,5,4.0,15478.0,HUEYTOWN,31.0,3.0,34.0,28.0,6.0
AL00120,7,4.0,2382.0,LIPSCOMB,6.0,3.0,9.0,5.0,4.0
AL00121,5,4.0,14699.0,TRUSSVILLE,44.0,10.0,54.0,43.0,11.0
AL00122,6,4.0,4953.0,ADAMSVILLE,18.0,13.0,31.0,18.0,13.0
AL00123,6,4.0,3076.0,WARRIOR,15.0,4.0,19.0,14.0,5.0
AL00124,7,4.0,0.0,UNIV OF AL: BIRMINGHAM,107.0,51.0,158.0,69.0,89.0
AL00125,7,4.0,508.0,TRAFFORD,1.0,0.0,1.0,1.0,0.0
AL00126,7,4.0,1855.0,MORRIS,5.0,1.0,6.0,5.0,1.0
AL00127,7,4.0,1379.0,BROOKSIDE,2.0,0.0,2.0,1.0,1.0
AL00128,7,4.0,80.0,CARDIFF,0.0,0.0,0.0,0.0,0.0
AL00129,7,4.0,2206.0,KIMBERLY,4.0,0.0,4.0,4.0,0.0
AL00130,7,4.0,262.0,COUNTY LINE,0.0,0.0,0.0,0.0,0.0
AL00200,9B,4.0,88174.0,MOBILE,258.0,223.0,481.0,149.0,332.0
AL00201,1C,4.0,250593.0,MOBILE,527.0,255.0,782.0,536.0,246.0
AL00202,4,4.0,28166.0,PRICHARD,72.0,39.0,111.0,81.0,30.0
AL00203,6,4.0,6139.0,CHICKASAW,19.0,0.0,19.0,19.0,0.0
AL00204,6,4.0,3699.0,CITRONELLE,8.0,3.0,11.0,7.0,4.0
AL00205,5,4.0,12589.0,SARALAND,37.0,10.0,47.0,35.0,12.0
AL00206,6,4.0,2772.0,BAYOU LA BATRE,12.0,5.0,17.0,12.0,5.0
AL00207,6,4.0,5910.0,SATSUMA,14.0,4.0,18.0,14.0,4.0
AL00208,7,4.0,834.0,MOUNT VERNON,5.0,2.0,7.0,6.0,1.0
AL00209,7,4.0,0.0,WILMER,0.0,0.0,0.0,0.0,0.0
AL00212,7,4.0,2044.0,CREOLA,10.0,2.0,12.0,9.0,3.0
AL00214,7,4.0,0.0,UNIV OF SOUTH ALABAMA,33.0,7.0,40.0,26.0,14.0
AL00215,7,4.0,1441.0,DAUPHIN ISLAND,8.0,4.0,12.0,8.0,4.0
AL003FA,7,4.0,0.0,FAULKNER UNIVERSITY,10.0,2.0,12.0,12.0,0.0
AL00300,9C,4.0,22000.0,MONTGOMERY,157.0,102.0,259.0,120.0,139.0
AL00301,2,4.0,201432.0,MONTGOMERY,463.0,173.0,636.0,482.0,154.0
AL00303,9E,4.0,0.0,AL CONSER DPT MARINE POL,65.0,15.0,80.0,65.0,15.0
AL00304,9D,4.0,0.0,AL ALC BEV CONTROL BOARD,89.0,23.0,112.0,91.0,21.0
AL00305,7,4.0,0.0,AL DEPT OF MENTAL HEALTH,4.0,1.0,5.0,4.0,1.0
AL00306,7,4.0,0.0,ALABAMA STATE UNIVERSITY,22.0,4.0,26.0,21.0,5.0
AL00307,7,4.0,0.0,"AUBURN UNIV, MONTGOMERY",13.0,8.0,21.0,13.0,8.0
AL00308,9D,4.0,0.0,AL P S COMM ENF DIV MT,5.0,0.0,5.0,5.0,0.0
AL00313,9D,4.0,0.0,STATE CAPITOL POLICE,24.0,4.0,28.0,23.0,5.0
AL00319,7,4.0,0.0,HOUS AUTH CITY OF MONTG,5.0,1.0,6.0,5.0,1.0
AL00322,7,4.0,0.0,BAPTIST MEDICAL CENTER,0.0,0.0,0.0,0.0,0.0
AL00400,9C,4.0,20244.0,AUTAUGA,45.0,15.0,60.0,21.0,39.0
AL00401,4,4.0,26831.0,PRATTVILLE,76.0,12.0,88.0,81.0,7.0
AL00402,7,4.0,854.0,AUTAUGAVILLE,3.0,0.0,3.0,3.0,0.0
