state2,year2,demwon,marginvvv
1.0,1979.0,1.0,466.0
1.0,1980.0,1.0,466.0
1.0,1981.0,1.0,466.0
1.0,1982.0,1.0,466.0
1.0,1983.0,1.0,185.0
1.0,1984.0,1.0,185.0
1.0,1985.0,1.0,185.0
1.0,1986.0,1.0,185.0
1.0,1987.0,0.0,-129.0
1.0,1988.0,0.0,-129.0
1.0,1989.0,0.0,-129.0
1.0,1990.0,0.0,-129.0
1.0,1991.0,0.0,-42.20000076293945
1.0,1992.0,0.0,-42.20000076293945
1.0,1993.0,1.0,1000.0
1.0,1994.0,1.0,1000.0
1.0,1995.0,0.0,-9.0
1.0,1996.0,0.0,-9.0
1.0,1997.0,0.0,-9.0
1.0,1998.0,0.0,-9.0
1.0,1999.0,1.0,155.8000030517578
1.0,2000.0,1.0,155.8000030517578
1.0,2001.0,1.0,155.8000030517578
1.0,2002.0,1.0,155.8000030517578
1.0,2003.0,0.0,-2.200000047683716
1.0,2004.0,0.0,-2.200000047683716
1.0,2005.0,0.0,-2.200000047683716
1.0,2006.0,0.0,-2.200000047683716
1.0,2007.0,0.0,-158.8000030517578
1.0,2008.0,0.0,-158.8000030517578
2.0,1979.0,0.0,-126.0
2.0,1980.0,0.0,-126.0
2.0,1981.0,0.0,-126.0
2.0,1982.0,0.0,-126.0
2.0,1983.0,1.0,90.0
2.0,1984.0,1.0,90.0
2.0,1985.0,1.0,90.0
2.0,1986.0,1.0,90.0
2.0,1987.0,1.0,47.0
2.0,1988.0,1.0,47.0
2.0,1989.0,1.0,47.0
2.0,1990.0,1.0,47.0
2.0,1995.0,1.0,2.5
2.0,1996.0,1.0,2.5
2.0,1997.0,1.0,2.5
2.0,1998.0,1.0,2.5
2.0,1999.0,1.0,330.1000061035156
2.0,2000.0,1.0,330.1000061035156
2.0,2001.0,1.0,330.1000061035156
2.0,2002.0,1.0,330.1000061035156
2.0,2003.0,0.0,-151.5
2.0,2004.0,0.0,-151.5
2.0,2005.0,0.0,-151.5
2.0,2006.0,0.0,-151.5
2.0,2007.0,0.0,-73.5999984741211
2.0,2008.0,0.0,-73.5999984741211
4.0,1979.0,1.0,77.0
4.0,1980.0,1.0,77.0
4.0,1981.0,1.0,77.0
4.0,1982.0,1.0,77.0
4.0,1983.0,1.0,300.0
4.0,1984.0,1.0,300.0
4.0,1985.0,1.0,300.0
4.0,1986.0,1.0,300.0
4.0,1987.0,0.0,-52.0
4.0,1988.0,1.0,1000.0
4.0,1989.0,1.0,1000.0
4.0,1990.0,1.0,1000.0
4.0,1991.0,0.0,-4.099999904632568
4.0,1992.0,0.0,-4.099999904632568
4.0,1993.0,0.0,-4.099999904632568
4.0,1994.0,0.0,-4.099999904632568
4.0,1995.0,0.0,-82.0999984741211
4.0,1996.0,0.0,-82.0999984741211
4.0,1997.0,0.0,-82.0999984741211
4.0,1998.0,0.0,-82.0999984741211
4.0,1999.0,0.0,-254.1999969482422
4.0,2000.0,0.0,-254.1999969482422
4.0,2001.0,0.0,-254.1999969482422
4.0,2002.0,0.0,-254.1999969482422
4.0,2003.0,1.0,9.699999809265137
4.0,2004.0,1.0,9.699999809265137
4.0,2005.0,1.0,9.699999809265137
4.0,2006.0,1.0,9.699999809265137
4.0,2007.0,1.0,271.3999938964844
4.0,2008.0,1.0,271.3999938964844
5.0,1979.0,1.0,267.0
5.0,1980.0,1.0,267.0
5.0,1981.0,0.0,-38.0
5.0,1982.0,0.0,-38.0
5.0,1983.0,1.0,94.0
5.0,1984.0,1.0,94.0
5.0,1985.0,1.0,251.0
5.0,1986.0,1.0,251.0
5.0,1987.0,1.0,278.0
5.0,1988.0,1.0,278.0
5.0,1989.0,1.0,278.0
5.0,1990.0,1.0,278.0
5.0,1991.0,1.0,150.0
5.0,1992.0,1.0,150.0
5.0,1993.0,1.0,150.0
5.0,1994.0,1.0,150.0
5.0,1995.0,1.0,192.0
5.0,1996.0,1.0,192.0
5.0,1997.0,0.0,-1000.0
5.0,1998.0,0.0,-1000.0
5.0,1999.0,0.0,-211.10000610351562
5.0,2000.0,0.0,-211.10000610351562
5.0,2001.0,0.0,-211.10000610351562
5.0,2002.0,0.0,-211.10000610351562
5.0,2003.0,0.0,-60.599998474121094
5.0,2004.0,0.0,-60.599998474121094
5.0,2005.0,0.0,-60.599998474121094
5.0,2006.0,0.0,-60.599998474121094
5.0,2007.0,1.0,149.39999389648438
5.0,2008.0,1.0,149.39999389648438
6.0,1979.0,1.0,195.0
6.0,1980.0,1.0,195.0
6.0,1981.0,1.0,195.0
6.0,1982.0,1.0,195.0
6.0,1983.0,0.0,-11.0
6.0,1984.0,0.0,-11.0
6.0,1985.0,0.0,-11.0
6.0,1986.0,0.0,-11.0
6.0,1987.0,0.0,-232.0
6.0,1988.0,0.0,-232.0
6.0,1989.0,0.0,-232.0
6.0,1990.0,0.0,-232.0
6.0,1991.0,0.0,-34.70000076293945
6.0,1992.0,0.0,-34.70000076293945
6.0,1993.0,0.0,-34.70000076293945
6.0,1994.0,0.0,-34.70000076293945
6.0,1995.0,0.0,-145.60000610351562
6.0,1996.0,0.0,-145.60000610351562
6.0,1997.0,0.0,-145.60000610351562
6.0,1998.0,0.0,-145.60000610351562
6.0,1999.0,1.0,195.89999389648438
6.0,2000.0,1.0,195.89999389648438
6.0,2001.0,1.0,195.89999389648438
6.0,2002.0,1.0,195.89999389648438
6.0,2003.0,1.0,48.70000076293945
6.0,2004.0,0.0,-171.10000610351562
6.0,2005.0,0.0,-171.10000610351562
6.0,2006.0,0.0,-171.10000610351562
6.0,2007.0,0.0,-169.6999969482422
6.0,2008.0,0.0,-169.6999969482422
8.0,1979.0,1.0,205.0
8.0,1980.0,1.0,205.0
8.0,1981.0,1.0,205.0
8.0,1982.0,1.0,205.0
8.0,1983.0,1.0,340.0
8.0,1984.0,1.0,340.0
8.0,1985.0,1.0,340.0
8.0,1986.0,1.0,340.0
8.0,1987.0,1.0,172.0
8.0,1988.0,1.0,172.0
8.0,1989.0,1.0,172.0
8.0,1990.0,1.0,172.0
8.0,1991.0,1.0,264.6000061035156
8.0,1992.0,1.0,264.6000061035156
8.0,1993.0,1.0,264.6000061035156
8.0,1994.0,1.0,264.6000061035156
8.0,1995.0,1.0,167.6999969482422
8.0,1996.0,1.0,167.6999969482422
8.0,1997.0,1.0,167.6999969482422
8.0,1998.0,1.0,167.6999969482422
8.0,1999.0,0.0,-6.300000190734863
8.0,2000.0,0.0,-6.300000190734863
8.0,2001.0,0.0,-6.300000190734863
8.0,2002.0,0.0,-6.300000190734863
8.0,2003.0,0.0,-289.70001220703125
8.0,2004.0,0.0,-289.70001220703125
8.0,2005.0,0.0,-289.70001220703125
8.0,2006.0,0.0,-289.70001220703125
8.0,2007.0,1.0,168.3000030517578
8.0,2008.0,1.0,168.3000030517578
9.0,1979.0,1.0,184.0
9.0,1980.0,1.0,184.0
9.0,1981.0,1.0,184.0
9.0,1982.0,1.0,184.0
9.0,1983.0,1.0,74.0
9.0,1984.0,1.0,74.0
9.0,1985.0,1.0,74.0
9.0,1986.0,1.0,74.0
9.0,1987.0,1.0,168.0
9.0,1988.0,1.0,168.0
9.0,1989.0,1.0,168.0
9.0,1990.0,1.0,168.0
9.0,1995.0,0.0,-35.0
9.0,1996.0,0.0,-35.0
9.0,1997.0,0.0,-35.0
9.0,1998.0,0.0,-35.0
9.0,1999.0,0.0,-274.6000061035156
9.0,2000.0,0.0,-274.6000061035156
9.0,2001.0,0.0,-274.6000061035156
9.0,2002.0,0.0,-274.6000061035156
9.0,2003.0,0.0,-122.19999694824219
9.0,2004.0,0.0,-122.19999694824219
9.0,2005.0,0.0,-122.19999694824219
9.0,2006.0,0.0,-122.19999694824219
9.0,2007.0,0.0,-277.5
9.0,2008.0,0.0,-277.5
10.0,1979.0,0.0,-144.0
10.0,1980.0,0.0,-144.0
10.0,1981.0,0.0,-421.20001220703125
10.0,1982.0,0.0,-421.20001220703125
10.0,1983.0,0.0,-421.20001220703125
10.0,1984.0,0.0,-421.20001220703125
10.0,1985.0,0.0,-110.5999984741211
10.0,1986.0,0.0,-110.5999984741211
10.0,1987.0,0.0,-110.5999984741211
10.0,1988.0,0.0,-110.5999984741211
10.0,1989.0,0.0,-414.6000061035156
10.0,1990.0,0.0,-414.6000061035156
10.0,1991.0,0.0,-414.6000061035156
10.0,1992.0,0.0,-414.6000061035156
10.0,1993.0,1.0,324.3999938964844
10.0,1994.0,1.0,324.3999938964844
10.0,1995.0,1.0,324.3999938964844
10.0,1996.0,1.0,324.3999938964844
10.0,1997.0,1.0,390.0
10.0,1998.0,1.0,390.0
10.0,1999.0,1.0,390.0
10.0,2000.0,1.0,390.0
10.0,2001.0,1.0,194.89999389648438
10.0,2002.0,1.0,194.89999389648438
10.0,2003.0,1.0,194.89999389648438
10.0,2004.0,1.0,194.89999389648438
10.0,2005.0,1.0,50.79999923706055
10.0,2006.0,1.0,50.79999923706055
