data_id,treat,age,educ,black,hisp,marr,nodegree,re74,re75,re78,age2,educ2,re742,re752,blacku74
Dehejia-Wahba Sample,1.0,37.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,9930.0458984375,1369.0,121.0,0.0,0.0,1.0
Dehejia-Wahba Sample,1.0,22.0,9.0,0.0,1.0,0.0,1.0,0.0,0.0,3595.89404296875,484.0,81.0,0.0,0.0,0.0
Dehejia-Wahba Sample,1.0,30.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,24909.44921875,900.0,144.0,0.0,0.0,1.0
Dehejia-Wahba Sample,1.0,27.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,7506.14599609375,729.0,121.0,0.0,0.0,1.0
Dehejia-Wahba Sample,1.0,33.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,289.7898864746094,1089.0,64.0,0.0,0.0,1.0
Dehejia-Wahba Sample,1.0,22.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,4056.493896484375,484.0,81.0,0.0,0.0,1.0
Dehejia-Wahba Sample,1.0,23.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,529.0,144.0,0.0,0.0,1.0
Dehejia-Wahba Sample,1.0,32.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,8472.158203125,1024.0,121.0,0.0,0.0,1.0
Dehejia-Wahba Sample,1.0,22.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,2164.02197265625,484.0,256.0,0.0,0.0,1.0
Dehejia-Wahba Sample,1.0,33.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,12418.0703125,1089.0,144.0,0.0,0.0,0.0
Dehejia-Wahba Sample,1.0,19.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,8173.908203125,361.0,81.0,0.0,0.0,1.0
Dehejia-Wahba Sample,1.0,21.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,17094.640625,441.0,169.0,0.0,0.0,1.0
Dehejia-Wahba Sample,1.0,18.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,324.0,64.0,0.0,0.0,1.0
Dehejia-Wahba Sample,1.0,27.0,10.0,1.0,0.0,1.0,1.0,0.0,0.0,18739.9296875,729.0,100.0,0.0,0.0,1.0
Dehejia-Wahba Sample,1.0,17.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,3023.87890625,289.0,49.0,0.0,0.0,1.0
Dehejia-Wahba Sample,1.0,19.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,3228.5029296875,361.0,100.0,0.0,0.0,1.0
Dehejia-Wahba Sample,1.0,27.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,14581.8603515625,729.0,169.0,0.0,0.0,1.0
Dehejia-Wahba Sample,1.0,23.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,7693.39990234375,529.0,100.0,0.0,0.0,1.0
Dehejia-Wahba Sample,1.0,40.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,10804.3203125,1600.0,144.0,0.0,0.0,1.0
Dehejia-Wahba Sample,1.0,26.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,10747.349609375,676.0,144.0,0.0,0.0,1.0
Dehejia-Wahba Sample,1.0,23.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,529.0,121.0,0.0,0.0,1.0
Dehejia-Wahba Sample,1.0,41.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,5149.5009765625,1681.0,196.0,0.0,0.0,0.0
Dehejia-Wahba Sample,1.0,38.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,6408.9501953125,1444.0,81.0,0.0,0.0,0.0
Dehejia-Wahba Sample,1.0,24.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,1991.4000244140625,576.0,121.0,0.0,0.0,1.0
Dehejia-Wahba Sample,1.0,18.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,11163.169921875,324.0,100.0,0.0,0.0,1.0
Dehejia-Wahba Sample,1.0,29.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,9642.9990234375,841.0,121.0,0.0,0.0,1.0
Dehejia-Wahba Sample,1.0,25.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,9897.048828125,625.0,121.0,0.0,0.0,1.0
Dehejia-Wahba Sample,1.0,27.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,11142.8701171875,729.0,100.0,0.0,0.0,0.0
Dehejia-Wahba Sample,1.0,17.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,16218.0400390625,289.0,100.0,0.0,0.0,1.0
Dehejia-Wahba Sample,1.0,24.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,995.7001953125,576.0,121.0,0.0,0.0,1.0
Dehejia-Wahba Sample,1.0,17.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,289.0,100.0,0.0,0.0,1.0
Dehejia-Wahba Sample,1.0,48.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,6551.591796875,2304.0,16.0,0.0,0.0,1.0
Dehejia-Wahba Sample,1.0,25.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,1574.4239501953125,625.0,121.0,0.0,0.0,1.0
Dehejia-Wahba Sample,1.0,20.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,144.0,0.0,0.0,1.0
Dehejia-Wahba Sample,1.0,25.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,3191.7529296875,625.0,144.0,0.0,0.0,1.0
Dehejia-Wahba Sample,1.0,42.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,20505.9296875,1764.0,196.0,0.0,0.0,1.0
Dehejia-Wahba Sample,1.0,25.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,6181.8798828125,625.0,25.0,0.0,0.0,1.0
Dehejia-Wahba Sample,1.0,23.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,5911.55078125,529.0,144.0,0.0,0.0,1.0
Dehejia-Wahba Sample,1.0,46.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,3094.156005859375,2116.0,64.0,0.0,0.0,1.0
Dehejia-Wahba Sample,1.0,24.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,576.0,100.0,0.0,0.0,1.0
Dehejia-Wahba Sample,1.0,21.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1254.58203125,441.0,144.0,0.0,0.0,1.0
Dehejia-Wahba Sample,1.0,19.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,13188.830078125,361.0,81.0,0.0,0.0,0.0
Dehejia-Wahba Sample,1.0,17.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,8061.48486328125,289.0,64.0,0.0,0.0,1.0
Dehejia-Wahba Sample,1.0,18.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,2787.9599609375,324.0,64.0,0.0,0.0,0.0
Dehejia-Wahba Sample,1.0,20.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,3972.5400390625,400.0,121.0,0.0,0.0,1.0
Dehejia-Wahba Sample,1.0,25.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,625.0,121.0,0.0,0.0,1.0
Dehejia-Wahba Sample,1.0,17.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,289.0,64.0,0.0,0.0,1.0
Dehejia-Wahba Sample,1.0,17.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,289.0,81.0,0.0,0.0,1.0
Dehejia-Wahba Sample,1.0,25.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,12187.41015625,625.0,25.0,0.0,0.0,1.0
Dehejia-Wahba Sample,1.0,23.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,4843.17578125,529.0,144.0,0.0,0.0,1.0
Dehejia-Wahba Sample,1.0,28.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,784.0,64.0,0.0,0.0,1.0
Dehejia-Wahba Sample,1.0,31.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,8087.48681640625,961.0,121.0,0.0,0.0,1.0
Dehejia-Wahba Sample,1.0,18.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,324.0,121.0,0.0,0.0,1.0
Dehejia-Wahba Sample,1.0,25.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,2348.972900390625,625.0,144.0,0.0,0.0,1.0
Dehejia-Wahba Sample,1.0,30.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,590.7817993164062,900.0,121.0,0.0,0.0,1.0
Dehejia-Wahba Sample,1.0,17.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,289.0,100.0,0.0,0.0,1.0
Dehejia-Wahba Sample,1.0,37.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,1067.5059814453125,1369.0,81.0,0.0,0.0,1.0
Dehejia-Wahba Sample,1.0,41.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,7284.98583984375,1681.0,16.0,0.0,0.0,1.0
Dehejia-Wahba Sample,1.0,42.0,14.0,1.0,0.0,1.0,0.0,0.0,0.0,13167.51953125,1764.0,196.0,0.0,0.0,1.0
Dehejia-Wahba Sample,1.0,22.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,1048.4320068359375,484.0,121.0,0.0,0.0,0.0
