stark,star1,star2,star3,totexpk,treadssk,tmathssk,totexp1,treadss1,tmathss1,totexp2,treadss2,tmathss2,treadss3,tmathss3,totexp3,schidkn,schid1n,schid2n,schid3n,tscorek,tscore1,tscore2,tscore3,sck,sc1,sc2,sc3,rak,ra1,ra2,ra3,white,black,other,boy,freelunk,freelun1,freelun2,freelun3
2.0,2.0,2.0,1.0,,,,,,,,,,580.0,564.0,30.0,,,,54.0,,,,1144.0,,,,0.0,,,,0.0,0.0,1.0,0.0,0.0,,,,1.0
1.0,1.0,1.0,1.0,7.0,447.0,473.0,7.0,507.0,538.0,3.0,568.0,579.0,587.0,593.0,1.0,63.0,63.0,63.0,63.0,920.0,1045.0,1147.0,1180.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1.0,1.0,1.0,1.0,21.0,450.0,536.0,32.0,579.0,592.0,4.0,588.0,579.0,644.0,639.0,4.0,20.0,20.0,20.0,20.0,986.0,1171.0,1167.0,1283.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0
2.0,2.0,2.0,1.0,,,,,,,,,,686.0,667.0,10.0,,,,8.0,,,,1353.0,,,,1.0,,,,0.0,1.0,0.0,0.0,1.0,,,,0.0
1.0,2.0,2.0,2.0,0.0,439.0,463.0,,,,,,,,,,19.0,,,,902.0,,,,0.0,,,,1.0,,,,0.0,1.0,0.0,1.0,1.0,,,
2.0,2.0,1.0,1.0,,,,,,,13.0,,,644.0,648.0,15.0,,,8.0,8.0,,,,1292.0,,,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,1.0,,,0.0,0.0
2.0,2.0,2.0,1.0,,,,,,,,,,,,17.0,,,,31.0,,,,,,,,0.0,,,,1.0,0.0,1.0,0.0,1.0,,,,1.0
2.0,1.0,1.0,1.0,,,,8.0,475.0,512.0,13.0,573.0,550.0,599.0,583.0,23.0,,5.0,5.0,5.0,,987.0,1123.0,1182.0,,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0
2.0,1.0,1.0,1.0,,,,13.0,,,6.0,,,,,8.0,,77.0,77.0,77.0,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0
2.0,1.0,1.0,1.0,,,,7.0,651.0,532.0,8.0,596.0,590.0,626.0,618.0,8.0,,50.0,50.0,50.0,,1183.0,1186.0,1244.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0
1.0,1.0,1.0,1.0,16.0,448.0,559.0,11.0,651.0,584.0,31.0,614.0,639.0,641.0,684.0,7.0,69.0,69.0,69.0,69.0,1007.0,1235.0,1253.0,1325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,5.0,447.0,489.0,15.0,533.0,545.0,14.0,608.0,603.0,665.0,648.0,14.0,79.0,79.0,79.0,79.0,936.0,1078.0,1211.0,1313.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,8.0,431.0,454.0,0.0,558.0,553.0,9.0,608.0,579.0,597.0,589.0,8.0,5.0,5.0,5.0,5.0,885.0,1111.0,1187.0,1186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,,1.0,1.0
1.0,1.0,2.0,2.0,17.0,395.0,423.0,5.0,454.0,490.0,,,,,,,16.0,16.0,,,818.0,944.0,,,0.0,0.0,,,1.0,0.0,,,0.0,1.0,0.0,0.0,1.0,1.0,,
2.0,2.0,1.0,1.0,,,,,,,4.0,586.0,603.0,606.0,631.0,19.0,,,41.0,41.0,,,1189.0,1237.0,,,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,0.0,,,0.0,0.0
2.0,1.0,1.0,1.0,,,,17.0,505.0,493.0,28.0,539.0,590.0,597.0,589.0,13.0,,48.0,48.0,48.0,,998.0,1129.0,1186.0,,0.0,1.0,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,1.0
2.0,1.0,2.0,2.0,,,,1.0,472.0,481.0,,,,,,,,51.0,,,,953.0,,,,0.0,,,,0.0,,,0.0,1.0,0.0,0.0,,1.0,,
2.0,2.0,1.0,1.0,,,,,,,2.0,520.0,540.0,578.0,606.0,26.0,,,19.0,19.0,,,1060.0,1184.0,,,0.0,0.0,,,1.0,1.0,0.0,1.0,0.0,0.0,,,1.0,1.0
2.0,2.0,2.0,1.0,,,,,,,,,,,,21.0,,,,15.0,,,,,,,,1.0,,,,0.0,0.0,1.0,0.0,0.0,,,,
2.0,1.0,2.0,2.0,,,,14.0,571.0,567.0,,,,,,,,51.0,,,,1138.0,,,,1.0,,,,0.0,,,0.0,1.0,0.0,1.0,,1.0,,
1.0,1.0,1.0,1.0,3.0,451.0,500.0,5.0,548.0,567.0,18.0,596.0,587.0,606.0,667.0,13.0,56.0,56.0,78.0,78.0,951.0,1115.0,1183.0,1273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2.0,1.0,2.0,2.0,,,,13.0,453.0,484.0,,,,,,,,8.0,,,,937.0,,,,0.0,,,,1.0,,,1.0,0.0,0.0,1.0,,1.0,,
1.0,1.0,1.0,1.0,11.0,478.0,439.0,31.0,514.0,461.0,14.0,569.0,584.0,606.0,596.0,14.0,11.0,11.0,11.0,11.0,917.0,975.0,1153.0,1202.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
2.0,2.0,2.0,1.0,,,,,,,,,,606.0,568.0,2.0,,,,71.0,,,,1174.0,,,,0.0,,,,1.0,1.0,0.0,0.0,1.0,,,,1.0
1.0,1.0,1.0,1.0,10.0,455.0,528.0,4.0,530.0,507.0,1.0,608.0,546.0,654.0,606.0,24.0,66.0,66.0,66.0,66.0,983.0,1037.0,1154.0,1260.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2.0,2.0,2.0,1.0,,,,,,,,,,564.0,564.0,13.0,,,,66.0,,,,1128.0,,,,0.0,,,,1.0,1.0,0.0,0.0,1.0,,,,0.0
2.0,2.0,2.0,1.0,,,,,,,,,,680.0,603.0,17.0,,,,38.0,,,,1283.0,,,,0.0,,,,1.0,1.0,0.0,0.0,0.0,,,,1.0
1.0,1.0,1.0,1.0,13.0,430.0,473.0,19.0,490.0,567.0,14.0,622.0,615.0,633.0,645.0,3.0,38.0,38.0,38.0,38.0,903.0,1057.0,1237.0,1278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,6.0,437.0,468.0,16.0,503.0,512.0,8.0,552.0,574.0,578.0,554.0,12.0,69.0,69.0,69.0,69.0,905.0,1015.0,1126.0,1132.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,2.0,2.0,1.0,9.0,,,,,,,,,661.0,631.0,,28.0,,,23.0,,,,1292.0,0.0,,,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,1.0,,,1.0
2.0,1.0,1.0,1.0,,,,15.0,548.0,532.0,33.0,,,639.0,626.0,12.0,,10.0,80.0,80.0,,1080.0,,1265.0,,1.0,1.0,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,,1.0
1.0,1.0,1.0,1.0,0.0,474.0,559.0,16.0,629.0,584.0,10.0,659.0,632.0,728.0,684.0,6.0,43.0,43.0,43.0,43.0,1033.0,1213.0,1291.0,1412.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1.0,1.0,1.0,1.0,6.0,424.0,494.0,6.0,519.0,512.0,4.0,559.0,590.0,606.0,597.0,13.0,71.0,71.0,71.0,71.0,918.0,1031.0,1149.0,1203.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,0.0
