statefip,year,race,bmprison,wmprison,bmpop,wmpop,error,crack,alcohol,income,ur,poverty,black,perc1519,aidscapita,state,parole,probation,capacity_rated,capacity_operational,capacity_design,bmprate,wmprate
1.0,1985.0,2.0,6227.0,4210.0,464428.0,1427743.0,0.0,0.21743780374526978,1.899999976158142,11566.0,8.616666793823242,20.600000381469727,25.8663387298584,8.46176815032959,0.6795044541358948,Alabama,2425.0,16520.0,9787.0,9787.0,9787.0,1340.7890625,294.8710021972656
1.0,1986.0,1.0,6657.0,4423.0,465387.0,1434773.0,0.0,0.2768752872943878,1.899999976158142,12164.0,9.083333969116211,23.799999237060547,25.827266693115234,8.473580360412598,0.8516916632652283,Alabama,3038.0,21371.0,10374.0,10374.0,10374.0,1430.42236328125,308.2717590332031
1.0,1987.0,1.0,7281.0,4803.0,467545.0,1442894.0,0.0,0.21137119829654694,1.8899999856948853,12826.0,7.650000095367432,21.299999237060547,25.777328491210938,8.397089004516602,1.967213749885559,Alabama,3456.0,23406.0,11107.0,11107.0,11107.0,1557.283203125,332.8726806640625
1.0,1988.0,1.0,7244.0,4605.0,468281.0,1445048.0,0.0,0.5597810745239258,1.8899999856948853,13698.0,6.916666507720947,19.299999237060547,25.734392166137695,8.280076026916504,2.758136749267578,Alabama,4701.0,25301.0,11162.0,11162.0,11162.0,1546.9344482421875,318.6745300292969
1.0,1989.0,1.0,8056.0,4998.0,468893.0,1445678.0,0.0,0.7218242287635803,1.8700000047683716,14865.0,6.616666793823242,18.899999618530273,25.694049835205078,8.088958740234375,3.8459067344665527,Alabama,5724.0,25519.0,11162.0,11662.0,11662.0,1718.0892333984375,345.72015380859375
1.0,1990.0,1.0,9282.0,5421.0,470480.0,1450374.0,0.0,0.5094360709190369,1.9199999570846558,15723.0,6.333333492279053,19.200000762939453,25.595874786376953,7.8683624267578125,4.3703107833862305,Alabama,5970.0,27686.0,13782.0,13782.0,13782.0,1972.8787841796875,373.7656555175781
1.0,1991.0,1.0,10119.0,5579.0,476751.0,1463514.0,0.0,0.8582038283348083,1.7599999904632568,16406.0,6.875,18.799999237060547,25.70242691040039,7.574486255645752,5.928049564361572,Alabama,6858.0,30022.0,14604.0,14604.0,14604.0,2122.49169921875,381.2057800292969
1.0,1992.0,1.0,10660.0,5658.0,485531.0,1478520.0,0.0,0.8854370713233948,1.7899999618530273,17327.0,6.883333206176758,17.299999237060547,25.873685836791992,7.439069747924805,6.812687873840332,Alabama,6934.0,31188.0,14788.0,14788.0,14788.0,2195.534423828125,382.6799621582031
1.0,1993.0,1.0,11450.0,6011.0,495028.0,1495463.0,0.0,0.2541232109069824,1.8600000143051147,17764.0,6.625,17.399999618530273,26.029260635375977,7.411177635192871,7.356078147888184,Alabama,6729.0,31460.0,15979.0,15979.0,15979.0,2313.00048828125,401.9490966796875
1.0,1994.0,1.0,11996.0,6323.0,503335.0,1509607.0,0.0,0.1229930967092514,1.8700000047683716,18606.0,5.383333206176758,16.399999618530273,26.206092834472656,7.429224967956543,8.192048072814941,Alabama,7235.0,31284.0,16508.0,16508.0,16508.0,2383.303466796875,418.8507385253906
